video_name,frames_evaluated,macro_iou,macro_dice,pixel_accuracy,error_rate,false_positive_pixels,false_negative_pixels,class_confusion_pixels
video01_00080,80,0.8147373422822065,0.851845065287485,0.969906506147541,0.03009349385245902,106575,519251,361048
video01_00160,80,0.9124300017395861,0.9512757918975092,0.9743671631049959,0.025632836895003903,125459,354370,360764
video01_00240,80,0.9087416182473959,0.9478163332726268,0.9653240571330992,0.03467594286690086,81362,566410,489377
video01_00400,80,0.8802549998832474,0.9234500905385543,0.9423679010538641,0.057632098946135836,93237,953300,843427
video01_14859,80,0.8685612731713089,0.9193507851437911,0.9599579796057768,0.04004202039422326,74020,719998,519104
video01_14939,80,0.8558825810387012,0.9021524162038276,0.9199512099921936,0.0800487900078064,84349,1005405,1535334
video01_15019,80,0.8855303641760986,0.9326320782643606,0.9442824514539421,0.055717548546057774,96578,864056,866545
video01_15099,52,0.8254226230498808,0.8854820281918279,0.9061195805560559,0.09388041944394404,56506,611830,1332804
video01_16345,80,0.8045913283978781,0.8717575240604105,0.9133242766881343,0.08667572331186572,102650,1035815,1703944
video01_16425,80,0.8327883924671526,0.8935889107567367,0.9279862839090555,0.07201371609094458,115245,844312,1402032
video01_16585,80,0.8260570241043617,0.8856526539869259,0.92908262587822,0.07091737412177986,68581,762759,1494296
video01_28900,80,0.7481886278125653,0.8367635212207747,0.8905663910031226,0.10943360899687744,94478,1430426,2063818
video09_00832,80,0.8989095553372568,0.9401052447280158,0.9409484472580015,0.059051552741998435,144599,480442,1311472
video09_00912,80,0.9459450333553174,0.9720301912554108,0.9739457699063232,0.02605423009367681,168878,190115,495419
video09_00992,80,0.9189940837322002,0.951818378407889,0.9531554937548791,0.046844506245121,175315,443862,917023
video12_15750,80,0.8445545386546562,0.9114656407292261,0.911765344457455,0.08823465554254488,1578115,734783,580634
video12_15830,80,0.8098267848736139,0.8827383995752482,0.8829237717115536,0.11707622828844655,2242589,724528,872234
video12_19580,80,0.8359186513709325,0.8870245949288191,0.9248876305132709,0.07511236948672911,252528,824509,1386168
video12_19660,80,0.7892872251199348,0.8570711551264114,0.8505298899785323,0.1494701100214676,1879515,1851185,1170963
video12_19740,80,0.8922606169183979,0.9393269057372844,0.9586205540105386,0.04137944598946136,311477,448447,597057
video12_19900,80,0.8308799621140031,0.8823240011197082,0.9374269064695551,0.06257309353044496,910084,536496,605417
video24_00000,80,0.9238530312678079,0.9585760274663354,0.9662927217505854,0.03370727824941452,532687,325349,247347
video24_00080,80,0.8833850656860353,0.9221788889721239,0.9430861204625293,0.05691387953747072,349578,787808,729025
video24_00160,80,0.8805632663970002,0.9260381904370183,0.9421145284445747,0.05788547155542545,1123126,300096,475051
video24_00240,80,0.8624618359491482,0.9107646759369148,0.9421976849141295,0.057802315085870415,814051,457130,624365
video24_00400,80,0.9287614126538759,0.9611887528529603,0.978682456332943,0.021317543667056987,522162,75214,101703
video24_00480,80,0.8942258369288556,0.9391470183365669,0.9624785628903201,0.037521437109679937,1067695,84650,78118
video24_00560,80,0.8652297667564565,0.9187012902023077,0.9511584272540983,0.04884157274590164,1452989,77582,71120
video24_09596,80,0.864360030578102,0.9165043138288617,0.9112908921252927,0.08870910787470727,1629415,745645,534031
video24_09676,80,0.8953508627540948,0.9371100197760647,0.9348572587334113,0.06514274126658859,989931,608089,538245
video24_09916,80,0.849654250405829,0.9065583497791325,0.9222324477946916,0.07776755220530836,1750533,328934,470811
video24_10076,80,0.7756160753723322,0.8122720844925772,0.8766466017759562,0.12335339822404372,3554961,197211,293030
video25_00402,80,0.9319509472016712,0.9644096551380781,0.9645055742583919,0.03549442574160812,528348,369137,266505
video52_00000,80,0.950547375478183,0.9739033357148088,0.9856867498536299,0.014313250146370023,128783,201115,139485
video52_00080,80,0.9513246924402374,0.9747536362536279,0.9844683413836846,0.015531658616315381,124835,187280,197224
video52_00160,80,0.9599212752742545,0.9793461413158149,0.9874792947404372,0.012520705259562842,119204,162023,129372
video52_00240,80,0.9541344284308544,0.9761613249574422,0.9852418459699454,0.014758154030054645,154445,153997,175531
video52_00320,80,0.9516016092523468,0.974647907948329,0.9853255513270882,0.014674448672911788,142865,184049,154314
video52_00400,80,0.9549332572884929,0.9767610822456675,0.9828487265807961,0.01715127341920375,229769,193486,139197
video52_00480,80,0.9485368358138985,0.9727075647927833,0.9860764905347384,0.013923509465261516,168684,148533,139385
video52_02746,80,0.9079387091049356,0.9507130802988367,0.9559980301034348,0.044001969896565185,265936,919447,257600
video52_02826,80,0.886373312622894,0.9329789721199312,0.9367306730581577,0.06326932694184231,453635,1011305,609889
video52_02906,80,0.8961813202480968,0.9383674435826415,0.9424184901932083,0.05758150980679157,452702,852613,582990
video55_00508,80,0.8074659588355768,0.8803021204936192,0.9162797009172522,0.08372029908274785,801235,903105,1041150
video55_00588,80,0.8921056108230558,0.9398826468906331,0.9430994767271661,0.05690052327283372,254861,645800,965312
video55_00668,80,0.8671095063704893,0.9218239400614049,0.9213694745316158,0.07863052546838407,431135,865475,1281968
