video_name,frame_name,macro_iou,macro_dice,pixel_accuracy,error_rate,false_positive_pixels,false_negative_pixels,class_confusion_pixels,artifact_dir
video01_00400,0001,0.0,0.0,0.0,1.0,0,82048,327872,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_00400
video01_14939,0061,0.0,0.0,0.0,1.0,0,81312,328608,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_14939
video01_14939,0076,0.0,0.0,0.0,1.0,0,80551,329369,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_14939
video01_14939,0079,0.0,0.0,0.0,1.0,0,83456,326464,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_14939
video01_15019,0004,0.0,0.0,0.0,1.0,0,83578,326342,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_15019
video01_15099,0007,0.0,0.0,0.0,1.0,0,82596,327324,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_15099
video01_15099,0009,0.0,0.0,0.0,1.0,0,82632,327288,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_15099
video01_16345,0062,0.0,0.0,0.0,1.0,0,80952,328968,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_16345
video01_16345,0065,0.0,0.0,0.0,1.0,0,81086,328834,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_16345
video01_16425,0034,0.0,0.0,0.0,1.0,0,81801,328119,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_16425
video01_16425,0069,0.0,0.0,0.0,1.0,0,78146,331774,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_16425
video01_16585,0016,0.0,0.0,0.0,1.0,0,79201,330719,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_16585
video01_16585,0050,0.0,0.0,0.0,1.0,0,81910,328010,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video01_16585
video09_00832,0060,0.0,0.0,0.0,1.0,0,69754,340166,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video09_00832
video09_00992,0058,0.0,0.0,0.0,1.0,0,72071,337849,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video09_00992
video12_15830,0004,0.0,0.0,0.0,1.0,0,112950,296970,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video12_15830
video12_19580,0043,0.0,0.0,0.0,1.0,0,147431,262489,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video12_19580
video12_19580,0046,0.0,0.0,0.0,1.0,0,146842,263078,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video12_19580
video12_19580,0059,0.0,0.0,0.0,1.0,0,147543,262377,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video12_19580
video24_00080,0014,0.0,0.0,0.0,1.0,0,165466,244454,C:\Users\Test\Desktop\SelectedTopicsProject\push\baseline\analysis_output\report_raw\artifacts\video24_00080
