class_id,frames_present,mean_iou,mean_dice
0,3652,0.8623655179052616,0.918493520335324
1,3514,0.8299720258383361,0.8829238052858411
2,3652,0.911723403376743,0.9493861244239069
3,2236,0.8627158774040057,0.9157653782495467
4,3112,0.9180118404594108,0.9530271687504777
5,2689,0.8236242715879333,0.8949840510419786
6,1092,0.8676588613230442,0.9220537237509187
7,373,0.5788725757366369,0.71565923319459
8,247,0.7708835240216784,0.8476143038792157
9,1325,0.8965922164821032,0.9343642933758061
10,3135,0.9048578623177159,0.9431890980525486
11,240,0.5186234004010142,0.6134422490520818
12,240,0.9642131537777784,0.977737032729833
255,27,0.0,0.0
