video_name,frame_name,macro_iou,macro_dice,pixel_accuracy,error_rate,false_positive_pixels,false_negative_pixels,class_confusion_pixels,artifact_dir
video01_00400,0001,0.0,0.0,0.0,1.0,0,82048,327872,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_00400
video01_14939,0061,0.0,0.0,0.0,1.0,0,82252,327668,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_14939
video01_14939,0076,0.0,0.0,0.0,1.0,0,81389,328531,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_14939
video01_14939,0079,0.0,0.0,0.0,1.0,0,81670,328250,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_14939
video01_15019,0004,0.0,0.0,0.0,1.0,0,82071,327849,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_15019
video01_15099,0007,0.0,0.0,0.0,1.0,0,81920,328000,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_15099
video01_15099,0009,0.0,0.0,0.0,1.0,0,81366,328554,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_15099
video01_16345,0062,0.0,0.0,0.0,1.0,0,79970,329950,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_16345
video01_16345,0065,0.0,0.0,0.0,1.0,0,82291,327629,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_16345
video01_16425,0034,0.0,0.0,0.0,1.0,0,80787,329133,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_16425
video01_16425,0069,0.0,0.0,0.0,1.0,0,77799,332121,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_16425
video01_16585,0016,0.0,0.0,0.0,1.0,0,79601,330319,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_16585
video01_16585,0050,0.0,0.0,0.0,1.0,0,84958,324962,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video01_16585
video09_00832,0060,0.0,0.0,0.0,1.0,0,72108,337812,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video09_00832
video09_00992,0058,0.0,0.0,0.0,1.0,0,72071,337849,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video09_00992
video12_15830,0004,0.0,0.0,0.0,1.0,0,117678,292242,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video12_15830
video12_19580,0043,0.0,0.0,0.0,1.0,0,149566,260354,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video12_19580
video12_19580,0046,0.0,0.0,0.0,1.0,0,147935,261985,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video12_19580
video12_19580,0059,0.0,0.0,0.0,1.0,0,146390,263530,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video12_19580
video24_00080,0014,0.0,0.0,0.0,1.0,0,163242,246678,C:\Users\Test\Desktop\SelectedTopicsProject\push\disagreement\no_bound_dist\analysis_output\report_raw\artifacts\video24_00080
